,pop,month,day,hours,city,city_id
1383,0.2,6,21,18,La Rochelle,280762466
1397,0.2,6,23,12,La Rochelle,280762466
1399,0.0,6,23,18,La Rochelle,280762466
1380,1.0,6,21,9,La Rochelle,280762466
1372,1.0,6,20,9,La Rochelle,280762466
1364,1.0,6,19,9,La Rochelle,280762466
1365,0.84,6,19,12,La Rochelle,280762466
1373,1.0,6,20,12,La Rochelle,280762466
1381,0.76,6,21,12,La Rochelle,280762466
1389,0.04,6,22,12,La Rochelle,280762466
1391,0.0,6,22,18,La Rochelle,280762466
1388,0.56,6,22,9,La Rochelle,280762466
1396,0.0,6,23,9,La Rochelle,280762466
1398,0.0,6,23,15,La Rochelle,280762466
1374,0.99,6,20,15,La Rochelle,280762466
1382,0.0,6,21,15,La Rochelle,280762466
1390,0.0,6,22,15,La Rochelle,280762466
1366,0.0,6,19,15,La Rochelle,280762466
1350,1.0,6,22,15,Bayonne,281543649
1357,1.0,6,23,12,Bayonne,281543649
1349,0.48,6,22,12,Bayonne,281543649
1341,0.0,6,21,12,Bayonne,281543649
1333,1.0,6,20,12,Bayonne,281543649
1325,0.22,6,19,12,Bayonne,281543649
1332,0.65,6,20,9,Bayonne,281543649
1340,0.31,6,21,9,Bayonne,281543649
1348,0.08,6,22,9,Bayonne,281543649
1356,1.0,6,23,9,Bayonne,281543649
1343,0.0,6,21,18,Bayonne,281543649
1351,1.0,6,22,18,Bayonne,281543649
1359,0.04,6,23,18,Bayonne,281543649
1324,0.34,6,19,9,Bayonne,281543649
1358,1.0,6,23,15,Bayonne,281543649
1342,0.0,6,21,15,Bayonne,281543649
1327,0.2,6,19,18,Bayonne,281543649
1334,1.0,6,20,15,Bayonne,281543649
1326,0.0,6,19,15,Bayonne,281543649
1335,1.0,6,20,18,Bayonne,281543649
1285,0.31,6,19,12,Biarritz,283462568
1293,1.0,6,20,12,Biarritz,283462568
1301,0.0,6,21,12,Biarritz,283462568
1309,0.54,6,22,12,Biarritz,283462568
1317,1.0,6,23,12,Biarritz,283462568
1319,0.18,6,23,18,Biarritz,283462568
1311,1.0,6,22,18,Biarritz,283462568
1300,0.27,6,21,9,Biarritz,283462568
1284,0.27,6,19,9,Biarritz,283462568
1308,0.14,6,22,9,Biarritz,283462568
1286,0.0,6,19,15,Biarritz,283462568
1294,1.0,6,20,15,Biarritz,283462568
1303,0.0,6,21,18,Biarritz,283462568
1295,1.0,6,20,18,Biarritz,283462568
1287,0.2,6,19,18,Biarritz,283462568
1302,0.0,6,21,15,Biarritz,283462568
1310,1.0,6,22,15,Biarritz,283462568
1318,1.0,6,23,15,Biarritz,283462568
1292,0.65,6,20,9,Biarritz,283462568
1316,1.0,6,23,9,Biarritz,283462568
1207,0.28,6,19,18,Toulouse,376688237
1236,0.34,6,23,9,Toulouse,376688237
1228,0.25,6,22,9,Toulouse,376688237
1239,0.0,6,23,18,Toulouse,376688237
1231,0.0,6,22,18,Toulouse,376688237
1223,0.0,6,21,18,Toulouse,376688237
1215,1.0,6,20,18,Toulouse,376688237
1220,0.0,6,21,9,Toulouse,376688237
1204,0.0,6,19,9,Toulouse,376688237
1212,0.78,6,20,9,Toulouse,376688237
1213,1.0,6,20,12,Toulouse,376688237
1222,0.2,6,21,15,Toulouse,376688237
1206,0.2,6,19,15,Toulouse,376688237
1214,0.2,6,20,15,Toulouse,376688237
1237,0.0,6,23,12,Toulouse,376688237
1238,0.0,6,23,15,Toulouse,376688237
1230,0.2,6,22,15,Toulouse,376688237
1205,0.2,6,19,12,Toulouse,376688237
1229,0.0,6,22,12,Toulouse,376688237
1221,0.0,6,21,12,Toulouse,376688237
358,1.0,6,23,15,Strasbourg,381804960
356,0.38,6,23,9,Strasbourg,381804960
348,0.23,6,22,9,Strasbourg,381804960
333,0.0,6,20,12,Strasbourg,381804960
327,0.0,6,19,18,Strasbourg,381804960
335,0.32,6,20,18,Strasbourg,381804960
343,0.91,6,21,18,Strasbourg,381804960
340,1.0,6,21,9,Strasbourg,381804960
332,0.0,6,20,9,Strasbourg,381804960
324,0.2,6,19,9,Strasbourg,381804960
341,1.0,6,21,12,Strasbourg,381804960
342,1.0,6,21,15,Strasbourg,381804960
350,1.0,6,22,15,Strasbourg,381804960
351,1.0,6,22,18,Strasbourg,381804960
325,0.2,6,19,12,Strasbourg,381804960
326,0.0,6,19,15,Strasbourg,381804960
349,1.0,6,22,12,Strasbourg,381804960
357,0.88,6,23,12,Strasbourg,381804960
359,1.0,6,23,18,Strasbourg,381804960
334,0.28,6,20,15,Strasbourg,381804960
805,0.0,6,19,12,Marseille,387540349
813,0.0,6,20,12,Marseille,387540349
821,0.0,6,21,12,Marseille,387540349
829,0.0,6,22,12,Marseille,387540349
837,0.0,6,23,12,Marseille,387540349
839,0.0,6,23,18,Marseille,387540349
831,0.0,6,22,18,Marseille,387540349
836,0.0,6,23,9,Marseille,387540349
823,0.0,6,21,18,Marseille,387540349
815,0.0,6,20,18,Marseille,387540349
804,0.0,6,19,9,Marseille,387540349
812,1.0,6,20,9,Marseille,387540349
820,0.0,6,21,9,Marseille,387540349
822,0.0,6,21,15,Marseille,387540349
814,0.2,6,20,15,Marseille,387540349
806,0.84,6,19,15,Marseille,387540349
807,0.87,6,19,18,Marseille,387540349
828,0.0,6,22,9,Marseille,387540349
830,0.0,6,22,15,Marseille,387540349
838,0.0,6,23,15,Marseille,387540349
