,dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain,city,city_id,month,day,hours
12,1718874000,"{'temp': 292.82, 'feels_like': 292.83, 'temp_min': 292.82, 'temp_max': 292.82, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 1011, 'humidity': 76, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 54},"{'speed': 4.62, 'deg': 45, 'gust': 6.7}",10000.0,0.0,{'pod': 'd'},2024-06-20 09:00:00,,Mont Saint-Michel,276970680,6,20,9
13,1718884800,"{'temp': 295.71, 'feels_like': 295.85, 'temp_min': 295.71, 'temp_max': 295.71, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 1010, 'humidity': 70, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 71},"{'speed': 4.68, 'deg': 69, 'gust': 5.99}",10000.0,0.2,{'pod': 'd'},2024-06-20 12:00:00,{'3h': 0.17},Mont Saint-Michel,276970680,6,20,12
14,1718895600,"{'temp': 293.03, 'feels_like': 293.29, 'temp_min': 293.03, 'temp_max': 293.03, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 85, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 4.61, 'deg': 35, 'gust': 6.69}",10000.0,1.0,{'pod': 'd'},2024-06-20 15:00:00,{'3h': 5.24},Mont Saint-Michel,276970680,6,20,15
15,1718906400,"{'temp': 289.25, 'feels_like': 289.47, 'temp_min': 289.25, 'temp_max': 289.25, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 1008, 'humidity': 98, 'temp_kf': 0}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",{'all': 100},"{'speed': 5.62, 'deg': 358, 'gust': 8.41}",3220.0,1.0,{'pod': 'd'},2024-06-20 18:00:00,{'3h': 13.21},Mont Saint-Michel,276970680,6,20,18
16,1718917200,"{'temp': 288.5, 'feels_like': 288.65, 'temp_min': 288.5, 'temp_max': 288.5, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 1007, 'humidity': 98, 'temp_kf': 0}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'all': 100},"{'speed': 7.38, 'deg': 3, 'gust': 12.61}",4851.0,1.0,{'pod': 'n'},2024-06-20 21:00:00,{'3h': 19.03},Mont Saint-Michel,276970680,6,20,21
17,1718928000,"{'temp': 288.17, 'feels_like': 288.26, 'temp_min': 288.17, 'temp_max': 288.17, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 1005, 'humidity': 97, 'temp_kf': 0}","[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'all': 100},"{'speed': 7.34, 'deg': 357, 'gust': 13.07}",8360.0,1.0,{'pod': 'n'},2024-06-21 00:00:00,{'3h': 13.3},Mont Saint-Michel,276970680,6,21,0
18,1718938800,"{'temp': 287.76, 'feels_like': 287.84, 'temp_min': 287.76, 'temp_max': 287.76, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 1004, 'humidity': 98, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'all': 100},"{'speed': 7.4, 'deg': 341, 'gust': 11.36}",1716.0,1.0,{'pod': 'n'},2024-06-21 03:00:00,{'3h': 4.44},Mont Saint-Michel,276970680,6,21,3
19,1718949600,"{'temp': 287.77, 'feels_like': 287.74, 'temp_min': 287.77, 'temp_max': 287.77, 'pressure': 1010, 'sea_level': 1010, 'grnd_level': 1005, 'humidity': 94, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 7.22, 'deg': 318, 'gust': 13.36}",10000.0,1.0,{'pod': 'd'},2024-06-21 06:00:00,{'3h': 9.73},Mont Saint-Michel,276970680,6,21,6
20,1718960400,"{'temp': 288.92, 'feels_like': 288.82, 'temp_min': 288.92, 'temp_max': 288.92, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 1007, 'humidity': 87, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 7.32, 'deg': 293, 'gust': 11.63}",10000.0,0.7,{'pod': 'd'},2024-06-21 09:00:00,{'3h': 0.63},Mont Saint-Michel,276970680,6,21,9
21,1718971200,"{'temp': 291.13, 'feels_like': 290.92, 'temp_min': 291.13, 'temp_max': 291.13, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 74, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 73},"{'speed': 7.59, 'deg': 295, 'gust': 9.73}",10000.0,0.5,{'pod': 'd'},2024-06-21 12:00:00,,Mont Saint-Michel,276970680,6,21,12
